State,State ANSI,Zip Code,Value
MINNESOTA,27,56567,241
MINNESOTA,27,56568,15
MINNESOTA,27,56569,64
MINNESOTA,27,56570,36
MINNESOTA,27,56571,81
MINNESOTA,27,56572,159
MINNESOTA,27,56573,242
MINNESOTA,27,56574,15
MINNESOTA,27,56575,20
MINNESOTA,27,56576,49
MINNESOTA,27,56578,15
MINNESOTA,27,56579,76
MINNESOTA,27,56580,31
MINNESOTA,27,56581,10
MINNESOTA,27,56583,19
MINNESOTA,27,56584,58
MINNESOTA,27,56585,83
MINNESOTA,27,56586,86
MINNESOTA,27,56587,56
MINNESOTA,27,56588,45
MINNESOTA,27,56589,73
MINNESOTA,27,56590,37
MINNESOTA,27,56592,27
MINNESOTA,27,56594,36
MINNESOTA,27,56601,262
MINNESOTA,27,56619,5
MINNESOTA,27,56621,142
MINNESOTA,27,56623,113
MINNESOTA,27,56626,4
MINNESOTA,27,56627,3
MINNESOTA,27,56628,17
MINNESOTA,27,56629,3
MINNESOTA,27,56630,91
MINNESOTA,27,56633,18
MINNESOTA,27,56634,72
MINNESOTA,27,56636,77
MINNESOTA,27,56637,4
MINNESOTA,27,56639,13
MINNESOTA,27,56641,4
MINNESOTA,27,56644,51
MINNESOTA,27,56646,39
MINNESOTA,27,56647,31
MINNESOTA,27,56649,48
MINNESOTA,27,56650,42
MINNESOTA,27,56651,31
MINNESOTA,27,56652,49
MINNESOTA,27,56653,38
MINNESOTA,27,56654,15
MINNESOTA,27,56655,12
MINNESOTA,27,56657,9
MINNESOTA,27,56659,1
MINNESOTA,27,56660,11
MINNESOTA,27,56661,36
MINNESOTA,27,56662,2
MINNESOTA,27,56663,4
MINNESOTA,27,56667,38
MINNESOTA,27,56669,16
MINNESOTA,27,56671,3
MINNESOTA,27,56672,38
MINNESOTA,27,56673,17
MINNESOTA,27,56676,109
MINNESOTA,27,56678,60
MINNESOTA,27,56680,3
MINNESOTA,27,56681,4
MINNESOTA,27,56683,28
MINNESOTA,27,56684,38
MINNESOTA,27,56685,22
MINNESOTA,27,56686,54
MINNESOTA,27,56701,314
MINNESOTA,27,56710,24
MINNESOTA,27,56713,86
MINNESOTA,27,56714,84
MINNESOTA,27,56715,34
MINNESOTA,27,56716,197
MINNESOTA,27,56720,1
MINNESOTA,27,56721,181
MINNESOTA,27,56722,52
MINNESOTA,27,56723,87
MINNESOTA,27,56724,17
MINNESOTA,27,56725,122
MINNESOTA,27,56726,119
MINNESOTA,27,56727,102
MINNESOTA,27,56728,119
MINNESOTA,27,56729,28
MINNESOTA,27,56731,20
MINNESOTA,27,56732,72
MINNESOTA,27,56733,49
MINNESOTA,27,56734,45
MINNESOTA,27,56735,101
MINNESOTA,27,56736,47
MINNESOTA,27,56737,63
MINNESOTA,27,56738,149
MINNESOTA,27,56740,1
MINNESOTA,27,56742,57
MINNESOTA,27,56744,24
MINNESOTA,27,56748,38
MINNESOTA,27,56750,149
MINNESOTA,27,56751,267
MINNESOTA,27,56754,14
MINNESOTA,27,56755,4
MINNESOTA,27,56756,40
MINNESOTA,27,56757,102
MINNESOTA,27,56758,34
MINNESOTA,27,56759,55
MINNESOTA,27,56760,43
MINNESOTA,27,56761,47
MINNESOTA,27,56762,178
MINNESOTA,27,56763,89
